id,UTC_date,latitude,longitude,depth,magnitude,region
624557,"2017-10-16 21:42:54.3",38.01,-122.23,6,2.0,"SAN FRANCISCO BAY AREA - CALIF."
624562,"2017-10-16 21:54:48.7",-16.84,-69.65,215,4.2,"SOUTHERN PERU"
624561,"2017-10-16 22:15:14.6",39.32,25.49,1,2.6,"AEGEAN SEA"
624566,"2017-10-16 22:37:06.0",-24.21,-67.4,198,3.0,"SALTA - ARGENTINA"
624565,"2017-10-16 22:38:44.4",51.44,16.08,1,2.5,POLAND
624567,"2017-10-16 22:46:14.0",16.06,-95.07,46,4.1,"OFFSHORE OAXACA - MEXICO"
624570,"2017-10-16 22:54:35.0",17.12,-99.56,50,4.2,"GUERRERO - MEXICO"
624569,"2017-10-16 22:58:30.0",9.37,-84.44,39,3.4,"COSTA RICA"
624598,"2017-10-16 23:01:21.4",42.55,-111.44,11,3.0,"SOUTHERN IDAHO"
625443,"2017-10-16 23:15:47.5",54.23,-160.99,40,2.5,"ALASKA PENINSULA"
624571,"2017-10-16 23:27:56.4",38.7,38.1,7,2.3,"EASTERN TURKEY"
624584,"2017-10-16 23:52:18.9",-23.88,-175.78,10,4.8,"TONGA REGION"
624599,"2017-10-16 23:53:35.9",43.66,43.51,10,3.3,"CAUCASUS REGION - RUSSIA"
624576,"2017-10-17 00:02:00.4",39.82,-123.3,6,2.4,"NORTHERN CALIFORNIA"
624714,"2017-10-17 00:10:00.4",42.03,-112.5,5,2.3,"SOUTHERN IDAHO"
624583,"2017-10-17 00:16:31.8",38.53,15.33,131,2.0,"SICILY - ITALY"
624587,"2017-10-17 00:17:35.0",-21.19,-68.88,113,3.6,"TARAPACA - CHILE"
624580,"2017-10-17 00:20:14.4",39.82,-123.3,6,2.4,"NORTHERN CALIFORNIA"
624581,"2017-10-17 00:20:57.5",19.21,-155.47,36,2.2,"ISLAND OF HAWAII - HAWAII"
624582,"2017-10-17 00:23:54.1",19.21,-155.47,38,2.2,"ISLAND OF HAWAII - HAWAII"
624617,"2017-10-17 00:25:33.8",38.08,20.39,20,2.1,GREECE
624585,"2017-10-17 00:31:40.3",20.0,-155.78,15,2.2,"HAWAII REGION - HAWAII"
624586,"2017-10-17 00:41:44.1",37.03,27.75,2,2.0,"WESTERN TURKEY"
624589,"2017-10-17 00:47:40.0",16.05,-95.88,50,4.3,"OAXACA - MEXICO"
624588,"2017-10-17 00:53:41.9",39.01,26.06,8,2.4,"NEAR THE COAST OF WESTERN TURKEY"
624595,"2017-10-17 01:08:56.0",15.75,-95.2,20,4.2,"OFFSHORE OAXACA - MEXICO"
624592,"2017-10-17 01:29:41.2",47.57,7.6,15,1.8,SWITZERLAND
624594,"2017-10-17 01:36:34.0",-19.91,-68.74,120,3.0,"TARAPACA - CHILE"
624596,"2017-10-17 01:48:25.8",47.54,7.49,17,1.8,"FRANCE-GERMANY BORDER REGION"
624625,"2017-10-17 01:59:22.6",44.22,41.5,10,3.9,"CAUCASUS REGION - RUSSIA"
624600,"2017-10-17 02:11:43.0",37.64,15.12,2,2.5,"SICILY - ITALY"
624601,"2017-10-17 02:39:41.0",34.14,-117.02,9,2.3,"SOUTHERN CALIFORNIA"
624602,"2017-10-17 02:42:22.9",47.46,7.78,19,1.7,SWITZERLAND
624603,"2017-10-17 02:46:30.4",28.53,52.16,10,3.8,"SOUTHERN IRAN"
624604,"2017-10-17 02:52:09.6",37.27,36.01,2,2.7,"CENTRAL TURKEY"
624619,"2017-10-17 03:35:43.7",43.43,17.51,2,2.6,"BOSNIA AND HERZEGOVINA"
624614,"2017-10-17 04:20:16.0",-36.16,-73.47,20,3.8,"OFFSHORE BIO-BIO - CHILE"
624616,"2017-10-17 04:38:35.8",37.91,22.32,11,2.2,"SOUTHERN GREECE"
624620,"2017-10-17 04:41:00.0",-36.25,-73.67,26,3.8,"OFFSHORE BIO-BIO - CHILE"
624748,"2017-10-17 04:46:56.3",47.65,-123.15,46,2.5,"OLYMPIC PENINSULA - WASHINGTON"
624618,"2017-10-17 05:01:00.0",66.57,-18.05,9,3.1,"ICELAND REGION"
624622,"2017-10-17 05:33:03.4",45.44,6.37,2,2.6,FRANCE
624621,"2017-10-17 05:33:50.0",33.49,-116.8,2,2.0,"SOUTHERN CALIFORNIA"
624624,"2017-10-17 05:43:09.2",36.8,26.46,14,2.5,"DODECANESE ISLANDS - GREECE"
624623,"2017-10-17 05:43:24.0",-32.9,-70.24,119,3.9,"VALPARAISO - CHILE"
624628,"2017-10-17 06:24:23.8",19.2,-155.41,34,2.0,"ISLAND OF HAWAII - HAWAII"
624701,"2017-10-17 06:56:30.0",9.3,-84.53,5,3.7,"COSTA RICA"
624636,"2017-10-17 06:59:15.9",-55.48,-29.65,10,4.6,"SOUTH SANDWICH ISLANDS REGION"
624634,"2017-10-17 07:00:10.9",-16.41,-173.2,20,4.7,TONGA
624635,"2017-10-17 07:08:44.4",39.27,27.72,7,2.1,"WESTERN TURKEY"
624803,"2017-10-17 07:10:34.0",-22.39,130.38,10,3.0,"NORTHERN TERRITORY - AUSTRALIA"
624637,"2017-10-17 07:27:26.4",37.51,-118.82,5,2.2,"CENTRAL CALIFORNIA"
624641,"2017-10-17 07:42:16.0",15.68,-95.31,11,4.2,"OFFSHORE OAXACA - MEXICO"
624645,"2017-10-17 08:24:45.0",16.5,-95.02,9,4.0,"OAXACA - MEXICO"
624646,"2017-10-17 08:58:41.3",39.57,27.77,7,2.0,"WESTERN TURKEY"
624647,"2017-10-17 09:05:16.1",38.27,41.02,7,2.2,"EASTERN TURKEY"
624700,"2017-10-17 09:06:30.0",9.33,-84.52,5,4.1,"COSTA RICA"
624653,"2017-10-17 09:18:37.5",41.13,20.83,3,2.6,"FYR OF MACEDONIA"
624654,"2017-10-17 09:24:01.6",15.69,-94.74,60,4.4,"OFFSHORE OAXACA - MEXICO"
624656,"2017-10-17 09:53:45.2",-20.57,-175.59,160,5.3,TONGA
624729,"2017-10-17 10:10:27.0",15.4,-94.67,16,3.9,"OFFSHORE OAXACA - MEXICO"
